re,im
-0.15194814367523676,16020683645222574e-35
-1.2625957637694907,17975139445438313e-32
-2.566060711626703,-11633529289419966e-31
-1.983439266657967,0
-3.1381984937741456,3768680797831801e-31
-2.4354885646261257,965915905579618e-30
-3.607054958465332,2935625864034346e-30
-3.104984055316193,-5111166466680303e-31
-1.365594759738591,-2.0107046327526605
-1.365594759738589,2.0107046327526676
-3.9433671472644662,-2724179427845254e-31
-2.0627404271062555,2.4887381366585375
-2.0627404271062484,-2.4887381366585437
-4.561533177070273,-845885092300463e-30
-3.5784271875516755,30951219800478226e-32
-4.321444481115141,35515471611273317e-32
-3.9463987342153644,-2572753585229771e-30
-4.643604493958089,-5139652101138234e-30
-4.078029489885115,-7434544750287688e-30
-4.2493680202837965,4036122320724551e-30
-2.825402779026477,-2.8150022589342223
-2.825402779026479,2.815002258934224
-4.4260015477665995,-23719142361703335e-31
-3.341293446563278,-2.916238177188039
-3.341293446563288,2.916238177188057
-3.9798819955733187,-3.0260901265197306
-3.979881995573324,3.0260901265197253
-3.40732138192227,2.950168240937643
-3.4073213819222747,-2.9501682409376366
-3.889076491486073,3.016875818824085
-3.8890764914860854,-3.0168758188240794
-4.331161783992725,3.061153674822936
-4.331161783992731,-3.06115367482294
-4.459169307621459,-3.068531404879033
-4.459169307621448,3.068531404879024
-1.2830369676139233,5.111978219197304
-1.2830369676139295,-5.111978219197296
-1.7664362448629607,5.481969593870583
-1.7664362448629487,-5.481969593870524
-2.2916967713486964,5.736122355838786
-2.2916967713486516,-5.736122355838752
-4.710298953370815,2287801660251408e-30
-2.7021231911742474,-5.891474332539395
-2.702123191174263,5.891474332539406
-2.631482609097612,5.840041342885699
-2.631482609097605,-5.840041342885734
-3.1646963730617834,6.044927484871403
-3.1646963730617563,-6.04492748487134
-3.18732445979034,-6.031165599687779
-3.1873244597903057,6.031165599687726
-4.700516612283138,3.0862609442245987
-4.7005166122831605,-3.0862609442245876
